trade_date,ticker,sector,company_name,shares_held,buy_price,close_price,adj_close,volume,daily_return,cumulative_return,market_value,cost_basis,unrealized_pnl,pnl_pct
2022-01-19,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,73.11,62.5831,26431600,0.00041082,0.15061288,2816.2395,3240.0,-423.76049999999987,-13.079027777777775
2022-01-20,AAPL,Technology,Apple Inc.,50.0,145.0,164.51,160.831,91420500,-0.01034751,-0.09614886,8041.549999999999,7250.0,791.5499999999993,10.917931034482752
2022-01-20,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,151.6675,151.6675,71974000,-0.02963231,-0.10995602,4550.025,4200.0,350.02499999999964,8.333928571428565
2022-01-20,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,311.01,311.01,4402300,-0.01188245,0.03397719,3732.12,3720.0,12.11999999999989,0.3258064516129003
2022-01-20,CAT,Industrials,Caterpillar Inc.,15.0,210.0,216.63,200.8462,3545600,-0.02269284,0.05159924,3012.693,3150.0,-137.3069999999998,-4.358952380952376
2022-01-20,CVX,Energy,Chevron Corporation,25.0,125.0,128.45,107.2612,11370400,-0.0035682,0.0770581,2681.53,3125.0,-443.4699999999998,-14.19104
2022-01-20,GOOGL,Technology,Alphabet Inc.,20.0,130.0,133.3075,132.1358,29908000,-0.01338845,-0.08058401,2642.716,2600.0,42.715999999999894,1.6429230769230685
2022-01-20,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,348.1,311.5197,4599900,0.00224598,-0.11946979,3115.197,3500.0,-384.8029999999999,-10.994371428571428
2022-01-20,HON,Industrials,Honeywell International Inc.,20.0,195.0,206.5114,187.7066,2598660,-0.00858911,0.01025178,3754.132,3900.0,-145.86799999999994,-3.7402051282051234
2022-01-20,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,165.25,145.3689,6011300,-0.00798423,-0.03666812,5087.9115,5775.0,-687.0884999999998,-11.897636363636366
2022-01-20,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,147.66,131.867,14860800,-0.00852774,-0.08135364,3296.6749999999997,3750.0,-453.3250000000003,-12.088666666666672
2022-01-20,KO,Consumer,The Coca-Cola Company,60.0,58.0,60.75,53.2022,23002400,-0.0040995,0.02445102,3192.132,3480.0,-287.86799999999994,-8.272068965517246
2022-01-20,MSFT,Technology,Microsoft Corporation,30.0,290.0,301.6,290.5292,35380700,-0.00570337,-0.09902922,8715.876,8700.0,15.876000000000204,0.1824827586206907
2022-01-20,NVDA,Technology,NVIDIA Corporation,40.0,220.0,24.15,24.0739,435181000,-0.03658541,-0.1982342,962.9559999999999,8800.0,-7837.044,-89.05731818181818
2022-01-20,PFE,Healthcare,Pfizer Inc.,100.0,48.0,54.05,42.5807,35105300,0.0095237,-0.04589617,4258.07,4800.0,-541.9300000000003,-11.290208333333334
2022-01-20,PG,Consumer,The Procter & Gamble Company,40.0,155.0,162.0,145.2048,10799100,0.00539934,-0.00015493,5808.192,6200.0,-391.808,-6.319483870967738
2022-01-20,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,463.0,426.9878,3228600,0.00103787,-0.0782034,4269.878,4700.0,-430.1220000000003,-9.151531914893617
2022-01-20,V,Financials,Visa Inc.,20.0,210.0,214.35,207.1289,8532700,-0.00153725,-0.03197405,4142.5779999999995,4200.0,-57.42200000000048,-1.3671904761904823
