year,month,month_name,monthly_return
2022,1,Jan,-0.030278020423854746
2022,2,Feb,-0.030581141864539196
2022,3,Mar,0.06392533697498326
2022,4,Apr,-0.0646701377671619
2022,5,May,0.0033177129174797315
2022,6,Jun,-0.06797393194137247
2022,7,Jul,0.07009332668964263
2022,8,Aug,-0.04088469657797
2022,9,Sep,-0.08882982971562225
2022,10,Oct,0.08210001743197282
2022,11,Nov,0.05548760976493816
2022,12,Dec,-0.038091689862278955
2023,1,Jan,0.025074296297464382
2023,2,Feb,-0.035631625070774
2023,3,Mar,0.04427067598025847
2023,4,Apr,0.026681410234380865
2023,5,May,-0.007146186540741395
2023,6,Jun,0.04395881848008654
2023,7,Jul,0.02671132882488836
2023,8,Aug,-0.01356463181512979
2023,9,Sep,-0.03760525124881364
2023,10,Oct,-0.021395779502518475
2023,11,Nov,0.063045767383348
2023,12,Dec,0.018756913454260005
2024,1,Jan,0.022081249542771575
2024,2,Feb,0.028550286914349687
2024,3,Mar,0.028244005412331408
2024,4,Apr,-0.029015153774775704
2024,5,May,0.050423686361595665
2024,6,Jun,0.029820231903382677
2024,7,Jul,0.013838686708209647
2024,8,Aug,0.03179229887637414
2024,9,Sep,0.023416929145845256
2024,10,Oct,-0.0016024144918128647
2024,11,Nov,0.05773129138570465
2024,12,Dec,-0.031212999844685396
2025,1,Jan,0.025895010580032185
2025,2,Feb,0.005725520889761082
2025,3,Mar,-0.019161274632046532
2025,4,Apr,-0.03216526393918617
2025,5,May,0.03441345197035428
2025,6,Jun,0.04551912252247092
2025,7,Jul,0.021742401131414013
2025,8,Aug,0.04714588269936004
2025,9,Sep,0.03985694100914916
2025,10,Oct,0.03375899285923345
2025,11,Nov,0.00720109172684591
2025,12,Dec,0.0083897128938073
2026,1,Jan,0.01787039425183945
2026,2,Feb,-0.002470593828625134
2026,3,Mar,-0.031358326598219355
2026,4,Apr,0.08382581611772344
2026,5,May,0.028231526206834445
2026,6,Jun,-0.008527544218610461
2026,7,Jul,0.024932689061693214
